"ParentID","CurveName","Ordinal","vA","vB","vE"
37367,"(11) IEC Inv",100,0.00,0.14,0.02
37367,"(12) IEC Ext Inv",110,0.00,80.00,2.00
37367,"(13) IEC ST Inv",120,0.00,0.05,0.04
37367,"(14) IEC LT Inv",130,0.00,120.00,1.00
37367,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37367,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37367,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37367,"(6) LT Ext Inv",50,0.25,64.07,2.00
37367,"(7) LT Very Inv",60,0.71,28.55,2.00
37367,"(8) LT Inv",70,0.18,0.08,0.02
37367,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37384,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37384,"(10) IEC Very Inv",90,0.00,13.50,1.00
37384,"(11) IEC Inv",100,0.00,0.14,0.02
37384,"(12) IEC Ext Inv",110,0.00,80.00,2.00
37384,"(13) IEC ST Inv",120,0.00,0.05,0.04
37384,"(14) IEC LT Inv",130,0.00,120.00,1.00
37384,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37384,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37384,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37384,"(6) LT Ext Inv",50,0.25,64.07,2.00
37384,"(7) LT Very Inv",60,0.71,28.55,2.00
37384,"(8) LT Inv",70,0.18,0.08,0.02
37384,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37614,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37614,"(10) IEC Very Inv",90,0.00,13.50,1.00
37614,"(11) IEC Inv",100,0.00,0.14,0.02
37614,"(12) IEC Ext Inv",110,0.00,80.00,2.00
37614,"(13) IEC ST Inv",120,0.00,0.05,0.04
37614,"(14) IEC LT Inv",130,0.00,120.00,1.00
37614,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37614,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37614,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37614,"(6) LT Ext Inv",50,0.25,64.07,2.00
37614,"(7) LT Very Inv",60,0.71,28.55,2.00
37614,"(8) LT Inv",70,0.18,0.08,0.02
37614,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37621,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37621,"(10) IEC Very Inv",90,0.00,13.50,1.00
37621,"(11) IEC Inv",100,0.00,0.14,0.02
37621,"(12) IEC Ext Inv",110,0.00,80.00,2.00
37621,"(13) IEC ST Inv",120,0.00,0.05,0.04
37621,"(14) IEC LT Inv",130,0.00,120.00,1.00
37621,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37621,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37621,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37621,"(6) LT Ext Inv",50,0.25,64.07,2.00
37621,"(7) LT Very Inv",60,0.71,28.55,2.00
37621,"(8) LT Inv",70,0.18,0.08,0.02
37621,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37635,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37635,"(10) IEC Very Inv",90,0.00,13.50,1.00
37635,"(11) IEC Inv",100,0.00,0.14,0.02
37635,"(12) IEC Ext Inv",110,0.00,80.00,2.00
37635,"(13) IEC ST Inv",120,0.00,0.05,0.04
37635,"(14) IEC LT Inv",130,0.00,120.00,1.00
37635,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37635,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37635,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37635,"(6) LT Ext Inv",50,0.25,64.07,2.00
37635,"(7) LT Very Inv",60,0.71,28.55,2.00
37635,"(8) LT Inv",70,0.18,0.08,0.02
37635,"(9) IEC Normal Inv",80,0.00,0.14,0.02
37655,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37655,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37655,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37655,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37655,"(6) LT Ext Inv",50,0.25,64.07,2.00
37655,"(7) LT Very Inv",60,0.71,28.55,2.00
37655,"(8) LT Inv",70,0.18,0.08,0.02
37665,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37665,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37665,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37665,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37665,"(6) LT Ext Inv",50,0.25,64.07,2.00
37665,"(7) LT Very Inv",60,0.71,28.55,2.00
37665,"(8) LT Inv",70,0.18,0.08,0.02
37675,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37675,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37675,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37675,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37675,"(6) LT Ext Inv",50,0.25,64.07,2.00
37675,"(7) LT Very Inv",60,0.71,28.55,2.00
37675,"(8) LT Inv",70,0.18,0.08,0.02
37685,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37685,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37685,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37685,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37685,"(6) LT Ext Inv",50,0.25,64.07,2.00
37685,"(7) LT Very Inv",60,0.71,28.55,2.00
37685,"(8) LT Inv",70,0.18,0.08,0.02
37695,"(1) ANSI Ext Inv",10,0.12,28.20,2.00
37695,"(2) ANSI Very Inv",20,0.49,19.61,2.00
37695,"(3) ANSI Normal Inv",30,0.01,8.6e-03,0.02
37695,"(4) ANSI Mod Inv",40,0.11,0.05,0.02
37695,"(6) LT Ext Inv",50,0.25,64.07,2.00
37695,"(7) LT Very Inv",60,0.71,28.55,2.00
37695,"(8) LT Inv",70,0.18,0.08,0.02
38842,"DT (c=0)",70,0.00,0.00,1.00
38842,"DT (c=1)",40,1.00,0.00,1.00
38842,"DT (c=10)",50,10.00,0.00,1.00
38842,"DT (c=100)",60,100.00,0.00,1.00
38842,"EI",30,0.24,56.40,2.00
38842,"LTI30xDT",100,0.00,120.00,1.00
38842,"MI",10,0.22,0.10,0.02
38842,"RECT",120,0.00,45900.00,5.60
38842,"SI30xDT",80,0.00,0.14,0.02
38842,"STI30xDT",110,0.00,0.05,0.04
38842,"VI",20,0.98,39.22,2.00
38842,"VI30xDT",90,0.00,13.50,1.00
38852,"DT (c=0)",70,0.00,0.00,1.00
38852,"DT (c=1)",40,1.00,0.00,1.00
38852,"DT (c=10)",50,10.00,0.00,1.00
38852,"DT (c=100)",60,100.00,0.00,1.00
38852,"EI",30,0.24,56.40,2.00
38852,"EI20xDT",130,0.00,80.00,2.00
38852,"LTI30xDT",100,0.00,120.00,1.00
38852,"MI",10,0.22,0.10,0.02
38852,"RECT",120,0.00,45900.00,5.60
38852,"SI30xDT",80,0.00,0.14,0.02
38852,"STI30xDT",110,0.00,0.05,0.04
38852,"VI",20,0.98,39.22,2.00
38852,"VI30xDT",90,0.00,13.50,1.00
38858,"EI20xDT",10,0.00,80.00,2.00
38863,"EI20xDT",70,0.00,80.00,2.00
38868,"DT (c=0)",70,0.00,0.00,1.00
38868,"DT (c=1)",40,1.00,0.00,1.00
38868,"DT (c=10)",50,10.00,0.00,1.00
38868,"DT (c=100)",60,100.00,0.00,1.00
38868,"EI",30,0.24,56.40,2.00
38868,"EI20xDT",130,0.00,80.00,2.00
38868,"LTI30xDT",100,0.00,120.00,1.00
38868,"MI",10,0.22,0.10,0.02
38868,"RECT",120,0.00,45900.00,5.60
38868,"SI30xDT",80,0.00,0.14,0.02
38868,"STI30xDT",110,0.00,0.05,0.04
38868,"VI",20,0.98,39.22,2.00
38868,"VI30xDT",90,0.00,13.50,1.00
38873,"DT (c=0)",70,0.00,0.00,1.00
38873,"DT (c=1)",40,1.00,0.00,1.00
38873,"DT (c=10)",50,10.00,0.00,1.00
38873,"DT (c=100)",60,100.00,0.00,1.00
38873,"EI",30,0.24,56.40,2.00
38873,"EI20xDT",130,0.00,80.00,2.00
38873,"LTI30xDT",100,0.00,120.00,1.00
38873,"MI",10,0.22,0.10,0.02
38873,"RECT",120,0.00,45900.00,5.60
38873,"SI30xDT",80,0.00,0.14,0.02
38873,"STI30xDT",110,0.00,0.05,0.04
38873,"VI",20,0.98,39.22,2.00
38873,"VI30xDT",90,0.00,13.50,1.00
38955,"IEEE Extremely Inverse",30,0.12,28.20,2.00
38955,"IEEE Moderately Inverse",10,0.11,0.05,0.02
38955,"IEEE Very Inverse",20,0.49,19.61,2.00
38955,"US-CO2",50,0.11,0.16,0.02
38955,"US-CO8",40,0.18,5.95,2.00
38976,"IEEE Extremely Inverse",30,0.12,28.20,2.00
38976,"IEEE Moderately Inverse",10,0.11,0.05,0.02
38976,"IEEE Very Inverse",20,0.49,19.61,2.00
38976,"US-CO2",50,0.11,0.16,0.02
38976,"US-CO8",40,0.18,5.95,2.00
39310,"CO2",50,0.01,0.02,0.02
39310,"CO8",60,0.18,5.95,2.00
39310,"EI",30,0.12,28.20,2.00
39310,"MI",10,0.11,0.05,0.02
39310,"RECT",40,0.00,45900.00,5.60
39310,"VI",20,0.49,19.61,2.00
39325,"CO2",50,0.01,0.02,0.02
39325,"CO8",60,0.18,5.95,2.00
39325,"EI",30,0.12,28.20,2.00
39325,"MI",10,0.11,0.05,0.02
39325,"RECT",40,0.00,45900.00,5.60
39325,"VI",20,0.49,19.61,2.00
39340,"CO2",50,0.01,0.02,0.02
39340,"CO8",60,0.18,5.95,2.00
39340,"EI",30,0.12,28.20,2.00
39340,"MI",10,0.11,0.05,0.02
39340,"RECT",40,0.00,45900.00,5.60
39340,"VI",20,0.49,19.61,2.00
39355,"CO2",50,0.01,0.02,0.02
39355,"CO8",60,0.18,5.95,2.00
39355,"EI",30,0.12,28.20,2.00
39355,"MI",10,0.11,0.05,0.02
