"ParentID","CurveName","Ordinal","vA","vB","vC","vD","vE"
54968,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54968,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54968,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54983,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54983,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54983,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
54983,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
54983,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
54983,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
54983,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54983,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54983,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54993,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54993,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54993,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
54993,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
54993,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
54993,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
54993,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54993,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54993,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
54998,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
54998,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
54998,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
54998,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
54998,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
54998,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
54998,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
54998,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
54998,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55003,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55003,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
55003,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
55003,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
55003,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
55003,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55003,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55003,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55022,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
55022,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55022,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
55022,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
55022,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
55022,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
55022,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55022,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55022,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55037,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55037,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
55037,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
55037,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
55037,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
55037,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55037,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55037,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55042,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
55042,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55042,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
55042,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
55042,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
55042,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
55042,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55042,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55042,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55052,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55052,"IAC Extremely Inverse",50,4.0e-03,0.63,0.62,1.78,0.24
55052,"IAC Inverse",70,0.20,0.86,0.80,-0.41,0.19
55052,"IAC Short Inverse",80,0.04,0.06,0.62,-1.0e-03,0.02
55052,"IAC Very Inverse",60,0.09,0.79,0.10,-1.28,7.95
55052,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55052,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55052,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55063,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
55063,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55063,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
55063,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
55063,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
55063,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
55063,"Moderately Inverse",40,0.17,0.67,0.80,-0.08,0.12
55063,"Normal Inverse",30,0.02,2.26,0.30,-4.18,9.12
55063,"Very Inverse",20,0.06,0.79,0.34,-0.28,4.05
55068,"Definite Time",50,0.10,0.00,0.00,0.00,0.00
55068,"Extremely Inverse",10,0.03,0.22,0.50,3.00,0.72
55068,"IAC Extremely Inverse",60,4.0e-03,0.63,0.62,1.78,0.24
55068,"IAC Inverse",80,0.20,0.86,0.80,-0.41,0.19
55068,"IAC Short Inverse",90,0.04,0.06,0.62,-1.0e-03,0.02
55068,"IAC Very Inverse",70,0.09,0.79,0.10,-1.28,7.95
