"ParentID","CurveName","Ordinal","vA","vB","vC"
38325,"Long Time Very Inv.",70,28.55,0.71,2.00
38325,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38325,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38325,"Very Inverse",20,2.85,0.07,2.00
38335,"Extremely Inverse",10,6.40,0.02,2.00
38335,"Inverse",30,8.6e-03,0.01,0.02
38335,"Long Time Ext. Inv.",60,64.07,0.25,2.00
38335,"Long Time Inverse",80,0.08,0.18,0.02
38335,"Long Time Very Inv.",70,28.55,0.71,2.00
38335,"Short Time Ext. Inv.",50,1.28,5.0e-03,2.00
38335,"Short Time Inverse",40,1.72e-03,3.7e-03,0.02
38335,"Very Inverse",20,2.85,0.07,2.00
77120,"Ext Inverse",10,6.40,0.02,2.00
77120,"Inverse",30,8.6e-03,0.01,0.02
77120,"L T Ext. Inverse",60,64.07,0.25,2.00
77120,"L T Inverse",80,0.08,0.18,0.02
77120,"L T Very Inverse",70,28.55,0.71,2.00
77120,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
77120,"S T Inverse",40,1.72e-03,3.7e-03,0.02
77120,"Very Inverse",20,2.85,0.07,2.00
77156,"Ext Inverse",10,6.40,0.02,2.00
77156,"Inverse",30,8.6e-03,0.01,0.02
77156,"L T Ext. Inverse",60,64.07,0.25,2.00
77156,"L T Inverse",80,0.08,0.18,0.02
77156,"L T Very Inverse",70,28.55,0.71,2.00
77156,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
77156,"S T Inverse",40,1.72e-03,3.7e-03,0.02
77156,"Very Inverse",20,2.85,0.07,2.00
77696,"Ext Inverse",10,6.40,0.02,2.00
77696,"Inverse",30,8.6e-03,0.01,0.02
77696,"L T Ext. Inverse",60,64.07,0.25,2.00
77696,"L T Inverse",80,0.08,0.18,0.02
77696,"L T Very Inverse",70,28.55,0.71,2.00
77696,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
77696,"S T Inverse",40,1.72e-03,3.7e-03,0.02
77696,"Very Inverse",20,2.85,0.07,2.00
77761,"Ext Inverse",10,6.40,0.02,2.00
77761,"Inverse",30,8.6e-03,0.01,0.02
77761,"L T Ext. Inverse",60,64.07,0.25,2.00
77761,"L T Inverse",80,0.08,0.18,0.02
77761,"L T Very Inverse",70,28.55,0.71,2.00
77761,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
77761,"S T Inverse",40,1.72e-03,3.7e-03,0.02
77761,"Very Inverse",20,2.85,0.07,2.00
80819,"Ext Inverse",10,6.40,0.02,2.00
80819,"Inverse",30,8.6e-03,0.01,0.02
80819,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
80819,"S T Inverse",40,1.72e-03,3.7e-03,0.02
80819,"Very Inverse",20,2.85,0.07,2.00
86408,"Ext Inverse",10,6.40,0.02,2.00
86408,"Inverse",30,8.6e-03,0.01,0.02
86408,"L T Ext. Inverse",60,64.07,0.25,2.00
86408,"L T Inverse",80,0.08,0.18,0.02
86408,"L T Very Inverse",70,28.55,0.71,2.00
86408,"Recloser Curve #8",90,4.21,0.01,1.80
86408,"S T Ext. Inverse",50,1.28,5.0e-03,2.00
