"ID","ParentID","AuxKey","Ordinal","Min","Max","Step","RelUnit","UseRange","RangeKey","ScaleWithTimeMultiplier"
60788,68290,0,10,0.05,15.00,0.01,0,0,205,0
60791,68291,1003,1,0.00,1.00,0.01,0,1,101,0
60790,68292,0,10,0.05,15.00,0.01,0,0,205,0
60793,68293,1003,1,0.00,1.00,0.01,0,1,101,0
60792,68294,0,10,0.05,15.00,0.01,0,0,205,0
60795,68295,1003,1,0.00,1.00,0.01,0,1,101,0
60794,68296,0,10,0.05,15.00,0.01,0,0,205,0
60797,68297,1003,1,0.00,1.00,0.01,0,1,101,0
60796,68298,0,10,0.05,15.00,0.01,0,0,205,0
60799,68299,1003,1,0.00,1.00,0.01,0,1,101,0
60798,68300,0,10,0.05,15.00,0.01,0,0,205,0
60801,68301,1003,1,0.00,1.00,0.01,0,1,101,0
60800,68302,0,10,0.05,15.00,0.01,0,0,205,0
60803,68303,1003,1,0.00,1.00,0.01,0,1,101,0
60802,68304,0,10,0.05,15.00,0.01,0,0,205,0
60805,68305,1003,1,0.00,1.00,0.01,0,1,101,0
60804,68306,0,10,0.05,15.00,0.01,0,0,205,0
60807,68307,1003,1,0.00,1.00,0.01,0,1,101,0
60806,68308,0,10,0.05,15.00,0.01,0,0,205,0
60809,68309,1003,1,0.00,1.00,0.01,0,1,101,0
60808,68310,0,10,0.05,15.00,0.01,0,0,205,0
60811,68311,1003,1,0.00,1.00,0.01,0,1,101,0
60810,68312,0,10,0.05,15.00,0.01,0,0,205,0
60813,68313,1003,1,0.00,1.00,0.01,0,1,101,0
60812,68314,0,10,0.05,15.00,0.01,0,0,205,0
60815,68315,1003,1,0.00,1.00,0.01,0,1,101,0
60814,68316,0,10,0.05,15.00,0.01,0,0,205,0
60817,68317,1003,1,0.00,1.00,0.01,0,1,101,0
60816,68318,0,10,0.05,15.00,0.01,0,0,205,0
60819,68321,1,1,0.10,1.60,0.10,0,1,202,0
60822,68324,0,10,1.00,2.75,0.25,0,1,102,0
60823,68325,0,10,0.10,0.45,0.05,0,1,102,0
60824,68326,0,10,2.00,15.00,1.00,0,1,102,0
60832,68335,0,10,0.05,1.00,0.05,0,1,102,0
60836,68341,0,10,0.50,4.00,0.25,0,1,102,0
60837,68342,0,10,0.00,0.75,0.05,0,1,102,0
60838,68346,1,1,0.10,1.60,0.10,0,1,202,0
60839,68352,0,10,10.00,12560.00,1.00,0,1,102,0
60852,68375,0,10,10.00,12560.00,1.00,0,1,102,0
60853,68376,0,10,10.00,12560.00,1.00,0,1,102,0
60854,68377,0,10,10.00,12560.00,1.00,0,1,102,0
60855,68379,0,10,1.00,30.00,0.10,0,1,102,0
60860,68382,1002,1,0.00,2.00,0.01,0,1,101,0
60861,68382,1003,1,0.00,2.00,0.01,0,1,101,0
60859,68383,0,10,0.05,2.00,0.01,0,1,205,0
60863,68385,1002,1,0.00,2.00,0.01,0,1,101,0
60864,68385,1003,1,0.00,2.00,0.01,0,1,101,0
60862,68386,1,1,0.05,2.00,0.01,0,1,202,0
60865,68388,1002,1,0.00,2.00,0.01,0,1,101,0
60866,68388,1003,1,0.00,2.00,0.01,0,1,101,0
60869,68392,0,10,1.00,30.00,0.10,0,1,102,0
60870,68393,0,10,1.00,30.00,0.10,0,1,102,0
60871,68394,0,10,1.00,30.00,0.10,0,1,102,0
60872,68395,0,10,10.00,12560.00,1.00,0,1,102,0
60873,68396,0,10,1.00,30.00,0.10,0,1,102,0
60875,68397,1002,1,0.00,2.00,0.01,0,1,101,0
60876,68397,1003,1,0.00,2.00,0.01,0,1,101,0
60874,68398,0,10,0.05,2.00,0.01,0,1,205,0
60877,68399,0,10,10.00,12560.00,1.00,0,1,102,0
60878,68400,0,10,1.00,30.00,0.10,0,1,102,0
60880,68401,1002,1,0.00,2.00,0.01,0,1,101,0
60881,68401,1003,1,0.00,2.00,0.01,0,1,101,0
60879,68402,1,1,0.05,2.00,0.01,0,1,202,0
60882,68403,0,10,10.00,12560.00,1.00,0,1,102,0
60883,68404,0,10,1.00,30.00,0.10,0,1,102,0
60884,68405,1002,1,0.00,2.00,0.01,0,1,101,0
60885,68405,1003,1,0.00,2.00,0.01,0,1,101,0
60886,68406,0,10,10.00,12560.00,1.00,0,1,102,0
60887,68407,0,10,1.00,30.00,0.10,0,1,102,0
60890,68410,0,10,0.00,2.00,0.01,0,1,102,0
60891,68411,0,10,0.00,2.00,0.01,0,1,102,0
60892,68412,0,10,0.00,2.00,0.01,0,1,102,0
60893,68413,0,10,0.00,2.00,0.01,0,1,102,0
60894,68414,0,10,0.00,2.00,0.01,0,1,102,0
60895,68415,0,10,0.00,2.00,0.01,0,1,102,0
60896,68416,0,10,0.00,2.00,0.01,0,1,102,0
60897,68417,0,10,0.00,2.00,0.01,0,1,102,0
60900,68422,0,10,0.10,9.90,0.10,0,0,204,0
60901,68423,0,10,0.50,15.90,0.10,0,0,102,0
60902,68424,0,10,2.00,99.00,1.00,0,0,102,0
60903,68425,0,10,0.02,0.12,-1.00,0,1,102,0
60904,68427,0,10,0.10,9.90,0.10,0,0,204,0
60905,68428,0,10,0.50,15.90,0.10,0,0,102,0
60906,68429,0,10,1.00,15.90,1.00,0,0,102,0
60907,68430,0,10,0.02,0.02,-1.00,0,0,102,0
60908,68432,0,10,0.10,9.90,0.10,0,0,204,0
60909,68433,0,10,0.50,15.90,0.10,0,0,102,0
60910,68434,0,10,2.00,99.00,1.00,0,0,102,0
60911,68435,0,10,0.02,0.12,-1.00,0,0,102,0
60912,68437,0,10,0.10,9.90,0.10,0,0,204,0
60913,68438,0,10,0.50,15.90,0.10,0,0,102,0
60914,68439,0,10,1.00,15.90,1.00,0,0,102,0
60915,68440,0,10,0.02,0.02,-1.00,0,1,102,0
60916,68442,0,10,0.10,9.90,0.10,0,0,204,0
60917,68443,0,10,0.10,3.18,0.02,0,0,102,0
60918,68444,0,10,0.40,19.80,0.20,0,0,102,0
60919,68445,0,10,0.02,0.12,-1.00,0,0,102,0
60920,68447,0,10,0.10,9.90,0.10,0,0,204,0
60921,68448,0,10,0.10,3.18,0.02,0,0,102,0
60922,68449,0,10,0.20,3.18,0.02,0,0,102,0
60923,68450,0,10,0.02,0.02,-1.00,0,0,102,0
