"ID","Section_ID","MinPickup","MaxPickup"
82764,82763,1.03,40.00
82812,82811,1.03,40.00
82826,82825,1.03,40.00
82833,82832,1.03,40.00
82847,82846,1.03,40.00
82861,82860,1.03,40.00
82875,82874,1.03,40.00
82905,82904,2.00,31.00
82907,82906,2.00,31.00
82931,82930,1.03,40.00
82936,82935,1.03,40.00
82954,82953,1.03,40.00
82982,82981,1.03,40.00
83031,83030,1.03,40.00
83059,83058,1.03,40.00
83080,83079,1.03,40.00
83204,83203,1.03,40.00
83221,83220,1.03,40.00
83587,83586,1.10,40.00
83596,83595,1.10,40.00
83667,83666,2.00,31.00
83789,83788,1.03,40.00
83806,83805,1.03,40.00
83823,83822,1.03,40.00
83840,83839,1.03,40.00
83872,83871,1.10,40.00
83883,83882,1.10,40.00
84206,84205,1.03,40.00
84267,84266,1.03,40.00
84274,84273,1.03,40.00
84333,84332,1.03,40.00
84464,84463,1.03,40.00
84478,84477,1.03,40.00
84485,84484,1.03,40.00
84521,84520,1.03,40.00
84535,84534,1.03,40.00
84549,84548,1.03,40.00
84563,84562,1.03,40.00
84584,84583,1.03,40.00
84598,84597,1.03,40.00
84605,84604,1.03,40.00
84641,84640,1.03,40.00
84655,84654,1.03,40.00
84669,84668,1.03,40.00
84683,84682,1.03,40.00
84704,84703,1.03,40.00
84718,84717,1.03,40.00
84725,84724,1.03,40.00
84761,84760,1.03,40.00
84775,84774,1.03,40.00
84789,84788,1.03,40.00
84803,84802,1.03,40.00
84859,84858,1.03,40.00
84886,84885,1.03,40.00
84958,84957,1.03,40.00
85029,85028,1.03,40.00
85040,85039,1.03,40.00
85065,85064,1.03,40.00
85089,85088,1.03,40.00
85123,85122,1.03,40.00
85160,85159,1.03,40.00
85195,85194,1.03,40.00
85307,85306,1.03,40.00
85310,85309,1.03,40.00
85329,85328,1.03,40.00
85331,85330,1.03,40.00
85371,85370,1.03,40.00
85724,85723,1.03,40.00
85766,85765,1.03,40.00
85855,85854,1.03,40.00
86065,86064,1.03,40.00
86077,86076,1.03,40.00
86090,86089,1.03,40.00
86104,86103,1.03,40.00
86147,86146,1.03,40.00
86160,86159,1.03,40.00
86423,86422,1.03,20.00
86446,86445,1.03,20.00
86542,86541,1.03,40.00
86552,86551,1.03,40.00
86723,86722,1.03,40.00
86747,86746,1.03,40.00
86782,86781,1.03,40.00
86855,86854,1.03,40.00
86936,86935,1.03,40.00
86964,86963,1.03,40.00
87045,87044,1.03,40.00
87433,87432,1.10,20.00
87460,87459,1.10,20.00
87480,87479,1.10,20.00
87537,87536,1.03,40.00
87539,87538,1.03,40.00
87589,87588,1.03,40.00
87591,87590,1.03,40.00
87625,87624,1.03,40.00
87659,87658,1.03,40.00
87666,87665,1.03,40.00
87673,87672,1.03,40.00
87699,87698,1.03,40.00
87734,87733,1.03,40.00
88189,88188,1.03,40.00
88217,88216,1.03,40.00
88219,88218,1.03,40.00
88221,88220,1.03,40.00
88223,88222,1.03,40.00
88225,88224,1.03,40.00
88332,88331,1.03,40.00
88350,88349,1.03,40.00
88365,88364,1.03,40.00
88708,88707,1.03,40.00
89181,89180,1.03,40.00
89183,89182,1.03,40.00
89185,89184,1.03,40.00
89200,89199,1.03,40.00
89221,89220,1.03,40.00
89242,89241,1.03,40.00
89263,89262,1.03,40.00
89343,89342,1.03,40.00
89346,89345,1.03,40.00
89417,89416,1.03,40.00
89433,89432,1.03,40.00
89453,89452,1.03,40.00
89473,89472,1.03,40.00
89552,89551,1.03,40.00
89590,89589,1.03,40.00
89617,89616,1.03,40.00
89738,89737,1.03,40.00
89744,89743,1.03,40.00
89750,89749,1.03,40.00
89756,89755,1.03,40.00
90064,90063,1.03,40.00
90097,90096,1.03,40.00
90117,90116,1.03,40.00
90143,90142,1.03,40.00
90149,90148,1.03,40.00
90164,90163,1.03,40.00
90172,90171,1.03,40.00
90180,90179,1.03,40.00
90409,90408,1.03,40.00
90430,90429,1.03,40.00
90437,90436,1.03,40.00
90559,90558,1.03,20.00
90583,90582,1.03,20.00
91005,91004,1.03,40.00
91061,91060,1.03,40.00
91071,91070,1.03,40.00
91085,91084,1.03,40.00
91113,91112,1.03,40.00
91134,91133,1.03,40.00
91160,91159,1.03,40.00
91171,91170,1.03,40.00
