"ID","Section_ID","MinPickup","MaxPickup"
90976,90975,1.03,40.00
90978,90977,1.03,40.00
90980,90979,1.03,40.00
91009,91008,1.50,30.00
91011,91010,1.50,30.00
91013,91012,1.03,40.00
91078,91077,1.03,40.00
91092,91091,1.03,40.00
91120,91119,1.03,40.00
91141,91140,1.03,40.00
91333,91332,1.03,40.00
91339,91338,1.03,40.00
91389,91388,1.03,40.00
91391,91390,1.03,40.00
91411,91410,1.03,40.00
91712,91711,1.03,40.00
91719,91718,1.03,40.00
91726,91725,1.03,40.00
91773,91772,1.03,40.00
91775,91774,1.03,40.00
91792,91791,1.03,40.00
91797,91796,1.03,40.00
91903,91902,1.03,40.00
91924,91923,1.03,40.00
