"ID","Mfr_ID","Type","Note","MultFunction","DCOffsetFilter","RelayClass","RelayConstr"
686,1,"Hi Lo CO-8(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-8 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. 
",1,0,0,1
627,1,"Hi Lo CO-9","Non-Directional, Single Phase Adjustable Time Delay

Type CO-9 Very Inverse Time Overcurrent Relay
Time-Current Curves

Source : Descriptive Bulletin 41-102E Dec, 1990
",0,0,0,1
687,1,"Hi Lo CO-9(99)","Type CO (HI-LO)
Overcurrent Relay

Instruction Leaflet : 41-100K
Effective : July 1999
Supersedes 41-100J, Dated January 1997

Typical Time-Current Curves CO-9 Relay

Note : The (99) in the type name refers to the year 1999, the document publication year. ",1,0,0,1
775,1,"IKC911","Inverse Time Overcurrent Relays
Types IKC911...913
CH-ES 82-14.10 E
Edition May 1995

Source : Bal_IKC_E.pdf",1,1,0,0
776,1,"IKC913","Inverse Time Overcurrent Relays
Types IKC911...913
CH-ES 82-14.10 E
Edition May 1995

Source : Bal_IKC_E.pdf",1,1,0,0
169,1,"IMPRS","IMPRS Motor Protection Relay
(Integrated Microprocessor-Based Motor Protection Relay System) 
Time-Current Curves

Source: ABB T&D Company Inc.
Descriptive Bulletin 41-206M
January 1991
TCC#     Rev  Date                Curve
605852  2      July   1989   IMPRS Inverse
605851  2      July   1989   IMPRS Very Inverse
605850  2      July   1989   IMPRS Extremely Inverse
605853  3      July   1989   IMPRS Short Time Inverse
605870  0      July   1989   IMPRS Long Time Extremely Inverse
605871  0      July   1989   IMPRS Long Time Very Inverse
605872  0      July   1989   IMPRS Long Time Inverse
605874  0      Oct   1989   IMPRS Definite Time 
605875  0      April  1990   IMPRS Motor Thermal Overload
 ",1,1,0,0
459,1,"IRC-11","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
460,1,"IRC-2","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
461,1,"IRC-5","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
462,1,"IRC-6","ABB Types IRP, IRC and IRD Directional Overcurrent Ground Relays

Instruction Leaflet 41-133S",0,0,0,1
