"ParentID","CurveName","Ordinal","vK","vE","DTAfter","DTMinTime"
72548,"Ext Inv",30,80.00,2.00,20.00,0.05
72548,"Long Inv",40,120.00,1.00,20.00,0.05
72548,"Norm Inv",10,0.14,0.02,20.00,0.05
72548,"Very Inv",20,13.50,1.00,20.00,0.05
72560,"Ext Inv",30,80.00,2.00,,
72560,"Norm Inv",10,0.14,0.02,,
72560,"Very Inv",20,13.50,1.00,,
72570,"Ext Inv",30,80.00,2.00,,
72570,"Long Inv",40,120.00,1.00,,
72570,"Norm Inv",10,0.14,0.02,,
72570,"Very Inv",20,13.50,1.00,,
72587,"Ext Inv",30,80.00,2.00,,
72587,"Long Inv",40,120.00,1.00,,
72587,"Norm Inv",10,0.14,0.02,,
72587,"Very Inv",20,13.50,1.00,,
72597,"Ext Inv",30,80.00,2.00,,
72597,"Long Inv",40,120.00,1.00,,
72597,"Norm Inv",10,0.14,0.02,,
72597,"Very Inv",20,13.50,1.00,,
72607,"Ext Inv",30,80.00,2.00,,
72607,"Long Inv",40,120.00,1.00,,
72607,"Norm Inv",10,0.14,0.02,,
72607,"Very Inv",20,13.50,1.00,,
72617,"Ext Inv",30,80.00,2.00,,
72617,"Long Inv",40,120.00,1.00,,
72617,"Norm Inv",10,0.14,0.02,,
72617,"Very Inv",20,13.50,1.00,,
72627,"Ext Inv",30,80.00,2.00,,
72627,"Norm Inv",10,0.14,0.02,,
72627,"Very Inv",20,13.50,1.00,,
72637,"Ext Inv",30,80.00,2.00,,
72637,"Long Inv",40,120.00,1.00,,
72637,"Norm Inv",10,0.14,0.02,,
72637,"Very Inv",20,13.50,1.00,,
72654,"Ext Inv",30,80.00,2.00,,
72654,"Long Inv",40,120.00,1.00,,
72654,"Norm Inv",10,0.14,0.02,,
72654,"Very Inv",20,13.50,1.00,,
72664,"Ext Inv",30,80.00,2.00,,
72664,"Long Inv",40,120.00,1.00,,
72664,"Norm Inv",10,0.14,0.02,,
72664,"Very Inv",20,13.50,1.00,,
72674,"Ext Inv",30,80.00,2.00,,
72674,"Long Inv",40,120.00,1.00,,
72674,"Norm Inv",10,0.14,0.02,,
72674,"Very Inv",20,13.50,1.00,,
72684,"Ext Inv",30,80.00,2.00,,
72684,"Long Inv",40,120.00,1.00,,
72684,"Norm Inv",10,0.14,0.02,,
72684,"Very Inv",20,13.50,1.00,,
72750,"Ext Inv",30,80.00,2.00,,
72750,"Long Inv",40,120.00,1.00,,
72750,"Norm Inv",10,0.14,0.02,,
72750,"Very Inv",20,13.50,1.00,,
72760,"Ext Inv",30,80.00,2.00,,
72760,"Long Inv",40,120.00,1.00,,
72760,"Norm Inv",10,0.14,0.02,,
72760,"Very Inv",20,13.50,1.00,,
72814,"Extremely Inverse",30,80.00,2.00,,
72814,"Long Time Inverse",40,120.00,1.00,,
72814,"Standard Inverse",10,0.14,0.02,,
72814,"Very Inverse",20,13.50,1.00,,
72819,"Extremely Inverse",30,80.00,2.00,,
72819,"Long Time Inverse",40,120.00,1.00,,
72819,"Standard Inverse",10,0.14,0.02,,
72819,"Very Inverse",20,13.50,1.00,,
72825,"Extremely Inverse",30,80.00,2.00,,
72825,"Long Time Inverse",40,120.00,1.00,,
72825,"Standard Inverse",10,0.14,0.02,,
72825,"Very Inverse",20,13.50,1.00,,
72836,"Extremely Inverse",30,80.00,2.00,,
72836,"Long Time Inverse",40,120.00,1.00,,
72836,"Standard Inverse",10,0.14,0.02,,
72836,"Very Inverse",20,13.50,1.00,,
