device_class,canonical_mfr,family,models_covered,doc_type,doc_number,title,normalized_relpath,provenance_type,source_url,retrieved,source_origin,original_name,not_in_workbook,dup_of,notes
Trip Units,Schneider Electric,Micrologic,Micrologic,curve-book,,Square D Micrologic 2.0 7.0A,Trip Units/Schneider Electric/Micrologic/Square D Micrologic 2.0 -7.0A.pdf,local,,,lib-trips,Square D\Square D Micrologic 2.0 -7.0A.pdf,,,
Trip Units,Schneider Electric,Masterpact,Masterpact,instruction-manual,designs,Square D Micrologic 5.0 6.0P,Trip Units/Schneider Electric/Masterpact/Square D Micrologic 5.0 - 6.0P.pdf,local,,,lib-trips,Square D\Square D Micrologic 5.0 - 6.0P.pdf,,,
_quarantine,Unknown,Unclassified,,tool,,TCC Quick Ref 3-18-17,_quarantine/lib-trips/TCC Quick Ref 3-18-17.xlsx,local,,,lib-trips,TCC Quick Ref 3-18-17.xlsx,,,non-PDF or invalid PDF
_quarantine,Unknown,Unclassified,,tool,,TCC Quick Ref 4-1-2018,_quarantine/lib-trips/TCC Quick Ref 4-1-2018.xlsx,local,,,lib-trips,TCC Quick Ref 4-1-2018.xlsx,,,non-PDF or invalid PDF
_quarantine,Unknown,Unclassified,,tool,,Timing test Toolbox 9.51 - ,_quarantine/lib-trips/Timing test Toolbox 9.51 - .xlsx,local,,,lib-trips,Timing test Toolbox 9.51 - .xlsx,,,non-PDF or invalid PDF
_quarantine,Unknown,Unclassified,,tool,,1-WEST.- TRIP UNIT TESTING,_quarantine/lib-trips/1-WEST.- TRIP UNIT TESTING.xlsx,local,,,lib-trips,TRIP UNITS RESA POWER\1-WEST.- TRIP UNIT TESTING.xlsx,,,non-PDF or invalid PDF
Trip Units,ABB,SACE Emax,SACE Emax,curve-book,1SDC200008D0202,ABB E Max Curves,Trip Units/ABB/SACE Emax/ABB E-Max Curves.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\ABB E-Max Curves.pdf,,,
Trip Units,Utility Relay,AC-PRO,AC-PRO,curve-book,,AC PRO (CURVE) ECS SST Conversion,Trip Units/Utility Relay/AC-PRO/AC-PRO (CURVE) -ECS-SST_Conversion.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\AC PRO CURVES & TIME CHART\AC-PRO (CURVE)     -ECS-SST_Conversion.pdf,,,
Trip Units,Utility Relay,AC-PRO,AC-PRO,curve-book,,AC PRO (CURVE) LSI,Trip Units/Utility Relay/AC-PRO/AC-PRO (CURVE) LSI.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\AC PRO CURVES & TIME CHART\AC-PRO (CURVE) LSI.pdf,,,
Trip Units,Utility Relay,AC-PRO,AC-PRO,curve-book,,AC PRO (CURVE) QUICK TRIP GF & INST,Trip Units/Utility Relay/AC-PRO/AC-PRO (CURVE) QUICK-TRIP GF & INST.pdf,local,,,lib-trips,TRIP UNITS RESA POWER\AC PRO CURVES & TIME CHART\AC-PRO (CURVE) QUICK-TRIP GF & INST.pdf,,,
